,tail,head,existing_f,fullname,fromname,toname,start,end,line,path_codes,dist,geometry
899,904,914,Bike Lane,N CENTRAL PARK BLVD,E NORTHFIELD BLVD,E 56TH AVE,POINT (-104.882689999123 39.7920300000725),POINT (-104.8841 39.7955),"LINESTRING (-104.882689999123 39.7920300000725, -104.8841 39.7955)",0,623.06,"LINESTRING (-104.882689999123 39.7920300000725, -104.8841 39.7955)"
900,870,115,Bike Lane,40TH ST,BLAKE ST,N FRANKLIN ST,POINT (-104.9706 39.7726),POINT (-104.9684 39.7713),"LINESTRING (-104.9706 39.7726, -104.9684 39.7713)",0,366.42,"LINESTRING (-104.9706 39.7726, -104.9684 39.7713)"
901,916,917,Trail,WEIR GULCH TRAIL,SOUTH PLATTE RIVER TRAIL,S SHERIDAN BLVD,POINT (-105.049763733569 39.7071008924765),POINT (-105.047129426237 39.7137627525349),"LINESTRING (-105.049763733569 39.7071008924765, -105.047129426237 39.7137627525349)",6,1194.88,"LINESTRING (-105.049763733569 39.7071008924765, -105.047129426237 39.7137627525349)"
902,917,416,Trail,WEIR GULCH TRAIL,SOUTH PLATTE RIVER TRAIL,S SHERIDAN BLVD,POINT (-105.047129426237 39.7137627525349),POINT (-105.040200051706 39.7182490287655),"LINESTRING (-105.047129426237 39.7137627525349, -105.040200051706 39.7182490287655)",6,1197.78,"LINESTRING (-105.047129426237 39.7137627525349, -105.040200051706 39.7182490287655)"
903,416,415,Trail,WEIR GULCH TRAIL,SOUTH PLATTE RIVER TRAIL,S SHERIDAN BLVD,POINT (-105.040200051706 39.7182490287655),POINT (-105.0325 39.7197),"LINESTRING (-105.040200051706 39.7182490287655, -105.0325 39.7197)",6,1049.83,"LINESTRING (-105.040200051706 39.7182490287655, -105.0325 39.7197)"
904,415,918,Trail,WEIR GULCH TRAIL,SOUTH PLATTE RIVER TRAIL,S SHERIDAN BLVD,POINT (-105.0325 39.7197),POINT (-105.030606821911 39.7208159137847),"LINESTRING (-105.0325 39.7197, -105.030606821911 39.7208159137847)",6,315.45,"LINESTRING (-105.0325 39.7197, -105.030606821911 39.7208159137847)"
905,918,919,Trail,WEIR GULCH TRAIL,SOUTH PLATTE RIVER TRAIL,S SHERIDAN BLVD,POINT (-105.030606821911 39.7208159137847),POINT (-105.027472728712 39.7219272736873),"LINESTRING (-105.030606821911 39.7208159137847, -105.027472728712 39.7219272736873)",6,456.77,"LINESTRING (-105.030606821911 39.7208159137847, -105.027472728712 39.7219272736873)"
906,919,920,Trail,WEIR GULCH TRAIL,SOUTH PLATTE RIVER TRAIL,S SHERIDAN BLVD,POINT (-105.027472728712 39.7219272736873),POINT (-105.0274 39.7233),"LINESTRING (-105.027472728712 39.7219272736873, -105.0274 39.7233)",6,235.63,"LINESTRING (-105.027472728712 39.7219272736873, -105.0274 39.7233)"
907,920,921,Trail,WEIR GULCH TRAIL,SOUTH PLATTE RIVER TRAIL,S SHERIDAN BLVD,POINT (-105.0274 39.7233),POINT (-105.028442856113 39.724442857423),"LINESTRING (-105.0274 39.7233, -105.028442856113 39.724442857423)",6,239.78,"LINESTRING (-105.0274 39.7233, -105.028442856113 39.724442857423)"
908,921,922,Trail,WEIR GULCH TRAIL,SOUTH PLATTE RIVER TRAIL,S SHERIDAN BLVD,POINT (-105.028442856113 39.724442857423),POINT (-105.028500001218 39.7268900003603),"LINESTRING (-105.028442856113 39.724442857423, -105.028500001218 39.7268900003603)",6,419.75,"LINESTRING (-105.028442856113 39.724442857423, -105.028500001218 39.7268900003603)"
909,922,923,Trail,WEIR GULCH TRAIL,SOUTH PLATTE RIVER TRAIL,S SHERIDAN BLVD,POINT (-105.028500001218 39.7268900003603),POINT (-105.026950000036 39.7284500000107),"LINESTRING (-105.028500001218 39.7268900003603, -105.026950000036 39.7284500000107)",6,337.19,"LINESTRING (-105.028500001218 39.7268900003603, -105.026950000036 39.7284500000107)"
910,923,924,Trail,WEIR GULCH TRAIL,SOUTH PLATTE RIVER TRAIL,S SHERIDAN BLVD,POINT (-105.026950000036 39.7284500000107),POINT (-105.026240000267 39.7290600001476),"LINESTRING (-105.026950000036 39.7284500000107, -105.026240000267 39.7290600001476)",6,140.65,"LINESTRING (-105.026950000036 39.7284500000107, -105.026240000267 39.7290600001476)"
911,924,925,Trail,WEIR GULCH TRAIL,SOUTH PLATTE RIVER TRAIL,S SHERIDAN BLVD,POINT (-105.026240000267 39.7290600001476),POINT (-105.023250000326 39.7299500000965),"LINESTRING (-105.026240000267 39.7290600001476, -105.023250000326 39.7299500000965)",6,424.31,"LINESTRING (-105.026240000267 39.7290600001476, -105.023250000326 39.7299500000965)"
912,925,926,Trail,WEIR GULCH TRAIL,SOUTH PLATTE RIVER TRAIL,S SHERIDAN BLVD,POINT (-105.023250000326 39.7299500000965),POINT (-105.019800000121 39.7310666671671),"LINESTRING (-105.023250000326 39.7299500000965, -105.019800000121 39.7310666671671)",6,495.32,"LINESTRING (-105.023250000326 39.7299500000965, -105.019800000121 39.7310666671671)"
913,926,927,Trail,WEIR GULCH TRAIL,SOUTH PLATTE RIVER TRAIL,S SHERIDAN BLVD,POINT (-105.019800000121 39.7310666671671),POINT (-105.01807777774 39.7310666674462),"LINESTRING (-105.019800000121 39.7310666671671, -105.01807777774 39.7310666674462)",6,228.03,"LINESTRING (-105.019800000121 39.7310666671671, -105.01807777774 39.7310666674462)"
914,750,928,Buffered Bike Lane,E FLORIDA AVE,S STEELE ST,S MONACO STREET PKWY,POINT (-104.95 39.6893),POINT (-104.9384 39.6893),"LINESTRING (-104.95 39.6893, -104.9384 39.6893)",1,1538.45,"LINESTRING (-104.95 39.6893, -104.9384 39.6893)"
915,928,812,Buffered Bike Lane,E FLORIDA AVE,S STEELE ST,S MONACO STREET PKWY,POINT (-104.9384 39.6893),POINT (-104.9317 39.6893),"LINESTRING (-104.9384 39.6893, -104.9317 39.6893)",1,888.61,"LINESTRING (-104.9384 39.6893, -104.9317 39.6893)"
916,812,929,Buffered Bike Lane,E FLORIDA AVE,S STEELE ST,S MONACO STREET PKWY,POINT (-104.9317 39.6893),POINT (-104.9129 39.6894),"LINESTRING (-104.9317 39.6893, -104.9129 39.6894)",1,2493.56,"LINESTRING (-104.9317 39.6893, -104.9129 39.6894)"
917,323,930,Buffered Bike Lane,N SYRACUSE ST,N ROSLYN ST,E MONTVIEW BLVD,POINT (-104.8987 39.7474),POINT (-104.8987 39.7518),"LINESTRING (-104.8987 39.7474, -104.8987 39.7518)",1,754.51,"LINESTRING (-104.8987 39.7474, -104.8987 39.7518)"
918,930,41,Buffered Bike Lane,N SYRACUSE ST,N ROSLYN ST,E MONTVIEW BLVD,POINT (-104.8987 39.7518),POINT (-104.900839984557 39.7534400099082),"LINESTRING (-104.8987 39.7518, -104.900839984557 39.7534400099082)",1,399.12,"LINESTRING (-104.8987 39.7518, -104.900839984557 39.7534400099082)"
919,932,933,Bike Lane,W 29TH AVE,N FEDERAL BLVD,N SHERIDAN BLVD,POINT (-105.0276 39.7585),POINT (-105.0387 39.7585),"LINESTRING (-105.0276 39.7585, -105.0387 39.7585)",0,1468.25,"LINESTRING (-105.0276 39.7585, -105.0387 39.7585)"
920,933,631,Bike Lane,W 29TH AVE,N FEDERAL BLVD,N SHERIDAN BLVD,POINT (-105.0387 39.7585),POINT (-105.0393 39.7585),"LINESTRING (-105.0387 39.7585, -105.0393 39.7585)",0,79.36,"LINESTRING (-105.0387 39.7585, -105.0393 39.7585)"
921,631,170,Bike Lane,W 29TH AVE,N FEDERAL BLVD,N SHERIDAN BLVD,POINT (-105.0393 39.7585),POINT (-105.044 39.7585),"LINESTRING (-105.0393 39.7585, -105.044 39.7585)",0,621.68,"LINESTRING (-105.0393 39.7585, -105.044 39.7585)"
922,170,934,Bike Lane,W 29TH AVE,N FEDERAL BLVD,N SHERIDAN BLVD,POINT (-105.044 39.7585),POINT (-105.0515 39.7585),"LINESTRING (-105.044 39.7585, -105.0515 39.7585)",0,992.02,"LINESTRING (-105.044 39.7585, -105.0515 39.7585)"
923,934,935,Bike Lane,W 29TH AVE,N FEDERAL BLVD,N SHERIDAN BLVD,POINT (-105.0515 39.7585),POINT (-105.0532 39.7585),"LINESTRING (-105.0515 39.7585, -105.0532 39.7585)",0,224.86,"LINESTRING (-105.0515 39.7585, -105.0532 39.7585)"
924,862,936,Protected Bike Lane,E 31ST AVE,N DOWNING,N GILPIN ST,POINT (-104.9684 39.7607),POINT (-104.9678 39.7607),"LINESTRING (-104.9684 39.7607, -104.9678 39.7607)",3,79.37,"LINESTRING (-104.9684 39.7607, -104.9678 39.7607)"
925,937,938,Trail,DRY GULCH TRAIL,SHERIDAN BLVD,LAKEWOOD GULCH TRAIL,POINT (-105.05295 39.7346000000107),POINT (-105.052050000109 39.7346500001251),"LINESTRING (-105.05295 39.7346000000107, -105.052050000109 39.7346500001251)",6,119.45,"LINESTRING (-105.05295 39.7346000000107, -105.052050000109 39.7346500001251)"
926,938,939,Trail,DRY GULCH TRAIL,SHERIDAN BLVD,LAKEWOOD GULCH TRAIL,POINT (-105.052050000109 39.7346500001251),POINT (-105.050382353356 39.7347470602479),"LINESTRING (-105.052050000109 39.7346500001251, -105.050382353356 39.7347470602479)",6,221.38,"LINESTRING (-105.052050000109 39.7346500001251, -105.050382353356 39.7347470602479)"
927,939,940,Trail,DRY GULCH TRAIL,SHERIDAN BLVD,LAKEWOOD GULCH TRAIL,POINT (-105.050382353356 39.7347470602479),POINT (-105.048249999831 39.7346666670778),"LINESTRING (-105.050382353356 39.7347470602479, -105.048249999831 39.7346666670778)",6,282.61,"LINESTRING (-105.050382353356 39.7347470602479, -105.048249999831 39.7346666670778)"
928,940,941,Trail,DRY GULCH TRAIL,SHERIDAN BLVD,LAKEWOOD GULCH TRAIL,POINT (-105.048249999831 39.7346666670778),POINT (-105.042925000136 39.7345750002225),"LINESTRING (-105.048249999831 39.7346666670778, -105.042925000136 39.7345750002225)",6,705.1,"LINESTRING (-105.048249999831 39.7346666670778, -105.042925000136 39.7345750002225)"
929,941,696,Trail,DRY GULCH TRAIL,SHERIDAN BLVD,LAKEWOOD GULCH TRAIL,POINT (-105.042925000136 39.7345750002225),POINT (-105.03953364151 39.732297557632),"LINESTRING (-105.042925000136 39.7345750002225, -105.03953364151 39.732297557632)",6,595.03,"LINESTRING (-105.042925000136 39.7345750002225, -105.03953364151 39.732297557632)"
930,810,942,Shared Roadway,E 20TH AVE,N WASHINGTON ST/PARK AVE/PARK AVE W,N GRANT ST,POINT (-104.98375 39.7476000000965),POINT (-104.983 39.7476000000429),"LINESTRING (-104.98375 39.7476000000965, -104.983 39.7476000000429)",4,99.26,"LINESTRING (-104.98375 39.7476000000965, -104.983 39.7476000000429)"
931,942,943,Shared Roadway,E 20TH AVE,N WASHINGTON ST/PARK AVE/PARK AVE W,N GRANT ST,POINT (-104.983 39.7476000000429),POINT (-104.9823 39.7476),"LINESTRING (-104.983 39.7476000000429, -104.9823 39.7476)",4,92.64,"LINESTRING (-104.983 39.7476000000429, -104.9823 39.7476)"
932,943,944,Shared Roadway,E 20TH AVE,N WASHINGTON ST/PARK AVE/PARK AVE W,N GRANT ST,POINT (-104.9823 39.7476),POINT (-104.978299999927 39.7475500000429),"LINESTRING (-104.9823 39.7476, -104.978299999927 39.7475500000429)",4,529.45,"LINESTRING (-104.9823 39.7476, -104.978299999927 39.7475500000429)"
933,944,945,Shared Roadway,E 20TH AVE,N DOWNING ST,N WASHINGTON ST,POINT (-104.978299999927 39.7475500000429),POINT (-104.9776 39.7475),"LINESTRING (-104.978299999927 39.7475500000429, -104.9776 39.7475)",4,93.04,"LINESTRING (-104.978299999927 39.7475500000429, -104.9776 39.7475)"
934,945,80,Shared Roadway,E 20TH AVE,N DOWNING ST,N WASHINGTON ST,POINT (-104.9776 39.7475),POINT (-104.977 39.7475),"LINESTRING (-104.9776 39.7475, -104.977 39.7475)",4,79.41,"LINESTRING (-104.9776 39.7475, -104.977 39.7475)"
935,80,557,Shared Roadway,E 20TH AVE,N DOWNING ST,N WASHINGTON ST,POINT (-104.977 39.7475),POINT (-104.9762 39.7475),"LINESTRING (-104.977 39.7475, -104.9762 39.7475)",4,105.88,"LINESTRING (-104.977 39.7475, -104.9762 39.7475)"
936,946,947,Bike Lane,N UINTA ST,E NORTHFIELD BLVD,E 56TH AVE,POINT (-104.8932 39.7865),POINT (-104.893174999909 39.791650000008),"LINESTRING (-104.8932 39.7865, -104.893174999909 39.791650000008)",0,882.45,"LINESTRING (-104.8932 39.7865, -104.893174999909 39.791650000008)"
937,947,884,Bike Lane,N UINTA ST,E NORTHFIELD BLVD,E 56TH AVE,POINT (-104.893174999909 39.791650000008),POINT (-104.893240000425 39.7939800007313),"LINESTRING (-104.893174999909 39.791650000008, -104.893240000425 39.7939800007313)",0,399.3,"LINESTRING (-104.893174999909 39.791650000008, -104.893240000425 39.7939800007313)"
938,884,948,Bike Lane,N UINTA ST,E NORTHFIELD BLVD,E 56TH AVE,POINT (-104.893240000425 39.7939800007313),POINT (-104.8941 39.7966),"LINESTRING (-104.893240000425 39.7939800007313, -104.8941 39.7966)",0,463.04,"LINESTRING (-104.893240000425 39.7939800007313, -104.8941 39.7966)"
939,948,949,Bike Lane,N UINTA ST,E NORTHFIELD BLVD,E 56TH AVE,POINT (-104.8941 39.7966),POINT (-104.8941 39.7983),"LINESTRING (-104.8941 39.7966, -104.8941 39.7983)",0,291.24,"LINESTRING (-104.8941 39.7966, -104.8941 39.7983)"
940,950,951,Neighborhood Bikeway,S KNOX CT,W ALAMEDA AVE,W OHIO AVE,POINT (-105.0324 39.7022),POINT (-105.0324 39.7099),"LINESTRING (-105.0324 39.7022, -105.0324 39.7099)",2,1321.03,"LINESTRING (-105.0324 39.7022, -105.0324 39.7099)"
941,799,614,Shared Use Path,N INCA ST,W 45TH AVE,MID N INCA ST,POINT (-104.998049999891 39.7674500000536),POINT (-104.9982 39.773),"LINESTRING (-104.998049999891 39.7674500000536, -104.9982 39.773)",5,951.26,"LINESTRING (-104.998049999891 39.7674500000536, -104.9982 39.773)"
942,614,952,Shared Use Path,N INCA ST,W 45TH AVE,MID N INCA ST,POINT (-104.9982 39.773),POINT (-104.9982 39.7742),"LINESTRING (-104.9982 39.773, -104.9982 39.7742)",5,205.62,"LINESTRING (-104.9982 39.773, -104.9982 39.7742)"
943,952,953,Shared Use Path,N INCA ST,W 45TH AVE,MID N INCA ST,POINT (-104.9982 39.7742),POINT (-104.9982 39.7765),"LINESTRING (-104.9982 39.7742, -104.9982 39.7765)",5,394.09,"LINESTRING (-104.9982 39.7742, -104.9982 39.7765)"
944,953,954,Shared Use Path,N INCA ST,W 45TH AVE,MID N INCA ST,POINT (-104.9982 39.7765),POINT (-104.9982 39.7783),"LINESTRING (-104.9982 39.7765, -104.9982 39.7783)",5,308.41,"LINESTRING (-104.9982 39.7765, -104.9982 39.7783)"
945,339,874,Trail,SAND CREEK TRAIL,HAVANA ST,PEORIA ST,POINT (-104.8776 39.7685000000429),POINT (-104.876775000327 39.7657000000509),"LINESTRING (-104.8776 39.7685000000429, -104.876775000327 39.7657000000509)",6,492.26,"LINESTRING (-104.8776 39.7685000000429, -104.876775000327 39.7657000000509)"
946,874,955,Trail,SAND CREEK TRAIL,HAVANA ST,PEORIA ST,POINT (-104.876775000327 39.7657000000509),POINT (-104.875 39.7656),"LINESTRING (-104.876775000327 39.7657000000509, -104.875 39.7656)",6,235.46,"LINESTRING (-104.876775000327 39.7657000000509, -104.875 39.7656)"
947,955,956,Trail,SAND CREEK TRAIL,HAVANA ST,PEORIA ST,POINT (-104.875 39.7656),POINT (-104.8744 39.7655),"LINESTRING (-104.875 39.7656, -104.8744 39.7655)",6,81.21,"LINESTRING (-104.875 39.7656, -104.8744 39.7655)"
948,956,335,Trail,SAND CREEK TRAIL,HAVANA ST,PEORIA ST,POINT (-104.8744 39.7655),POINT (-104.865350000012 39.7633166671637),"LINESTRING (-104.8744 39.7655, -104.865350000012 39.7633166671637)",6,1254.54,"LINESTRING (-104.8744 39.7655, -104.865350000012 39.7633166671637)"
949,335,957,Trail,SAND CREEK TRAIL,HAVANA ST,PEORIA ST,POINT (-104.865350000012 39.7633166671637),POINT (-104.865499999564 39.7622250000644),"LINESTRING (-104.865350000012 39.7633166671637, -104.865499999564 39.7622250000644)",6,188.22,"LINESTRING (-104.865350000012 39.7633166671637, -104.865499999564 39.7622250000644)"
950,957,958,Trail,SAND CREEK TRAIL,HAVANA ST,PEORIA ST,POINT (-104.865499999564 39.7622250000644),POINT (-104.865349999891 39.7608500000107),"LINESTRING (-104.865499999564 39.7622250000644, -104.865349999891 39.7608500000107)",6,236.58,"LINESTRING (-104.865499999564 39.7622250000644, -104.865349999891 39.7608500000107)"
951,624,600,Trail,SOUTH PLATTE RIVER TRAIL,38TH ST,FRANKLIN ST,POINT (-105.004489472458 39.6611000001755),POINT (-105.003864302208 39.6665833396995),"LINESTRING (-105.004489472458 39.6611000001755, -105.003864302208 39.6665833396995)",6,945.25,"LINESTRING (-105.004489472458 39.6611000001755, -105.003864302208 39.6665833396995)"
952,600,959,Trail,SOUTH PLATTE RIVER TRAIL,38TH ST,FRANKLIN ST,POINT (-105.003864302208 39.6665833396995),POINT (-104.999611113162 39.6688500007904),"LINESTRING (-105.003864302208 39.6665833396995, -104.999611113162 39.6688500007904)",6,685.59,"LINESTRING (-105.003864302208 39.6665833396995, -104.999611113162 39.6688500007904)"
953,959,960,Trail,SOUTH PLATTE RIVER TRAIL,38TH ST,FRANKLIN ST,POINT (-104.999611113162 39.6688500007904),POINT (-104.998520000226 39.670580000024),"LINESTRING (-104.999611113162 39.6688500007904, -104.998520000226 39.670580000024)",6,330.45,"LINESTRING (-104.999611113162 39.6688500007904, -104.998520000226 39.670580000024)"
954,960,961,Trail,SOUTH PLATTE RIVER TRAIL,38TH ST,FRANKLIN ST,POINT (-104.998520000226 39.670580000024),POINT (-104.998100000145 39.6717250000214),"LINESTRING (-104.998520000226 39.670580000024, -104.998100000145 39.6717250000214)",6,204.34,"LINESTRING (-104.998520000226 39.670580000024, -104.998100000145 39.6717250000214)"
955,961,962,Trail,SOUTH PLATTE RIVER TRAIL,38TH ST,FRANKLIN ST,POINT (-104.998100000145 39.6717250000214),POINT (-104.997675000235 39.6730000000188),"LINESTRING (-104.998100000145 39.6717250000214, -104.997675000235 39.6730000000188)",6,226.06,"LINESTRING (-104.998100000145 39.6717250000214, -104.997675000235 39.6730000000188)"
956,962,963,Trail,SOUTH PLATTE RIVER TRAIL,38TH ST,FRANKLIN ST,POINT (-104.997675000235 39.6730000000188),POINT (-104.997849999955 39.6743875000107),"LINESTRING (-104.997675000235 39.6730000000188, -104.997849999955 39.6743875000107)",6,239.35,"LINESTRING (-104.997675000235 39.6730000000188, -104.997849999955 39.6743875000107)"
957,963,964,Trail,SOUTH PLATTE RIVER TRAIL,38TH ST,FRANKLIN ST,POINT (-104.997849999955 39.6743875000107),POINT (-104.997033333559 39.6751666667334),"LINESTRING (-104.997849999955 39.6743875000107, -104.997033333559 39.6751666667334)",6,172.15,"LINESTRING (-104.997849999955 39.6743875000107, -104.997033333559 39.6751666667334)"
958,964,98,Trail,SOUTH PLATTE RIVER TRAIL,38TH ST,FRANKLIN ST,POINT (-104.997033333559 39.6751666667334),POINT (-104.997119897262 39.6886579092314),"LINESTRING (-104.997033333559 39.6751666667334, -104.997119897262 39.6886579092314)",6,2315.96,"LINESTRING (-104.997033333559 39.6751666667334, -104.997119897262 39.6886579092314)"
959,98,965,Trail,SOUTH PLATTE RIVER TRAIL,38TH ST,FRANKLIN ST,POINT (-104.997119897262 39.6886579092314),POINT (-104.995431810479 39.7026363658291),"LINESTRING (-104.997119897262 39.6886579092314, -104.995431810479 39.7026363658291)",6,2409.34,"LINESTRING (-104.997119897262 39.6886579092314, -104.995431810479 39.7026363658291)"
960,965,528,Trail,SOUTH PLATTE RIVER TRAIL,38TH ST,FRANKLIN ST,POINT (-104.995431810479 39.7026363658291),POINT (-104.998134612629 39.7048076942343),"LINESTRING (-104.995431810479 39.7026363658291, -104.998134612629 39.7048076942343)",6,516.85,"LINESTRING (-104.995431810479 39.7026363658291, -104.998134612629 39.7048076942343)"
961,528,526,Trail,SOUTH PLATTE RIVER TRAIL,38TH ST,FRANKLIN ST,POINT (-104.998134612629 39.7048076942343),POINT (-104.999149999447 39.7080875000643),"LINESTRING (-104.998134612629 39.7048076942343, -104.999149999447 39.7080875000643)",6,578.61,"LINESTRING (-104.998134612629 39.7048076942343, -104.999149999447 39.7080875000643)"
962,526,966,Trail,SOUTH PLATTE RIVER TRAIL,38TH ST,FRANKLIN ST,POINT (-104.999149999447 39.7080875000643),POINT (-104.999799999807 39.7097000000286),"LINESTRING (-104.999149999447 39.7080875000643, -104.999799999807 39.7097000000286)",6,289.75,"LINESTRING (-104.999149999447 39.7080875000643, -104.999799999807 39.7097000000286)"
963,966,123,Trail,SOUTH PLATTE RIVER TRAIL,38TH ST,FRANKLIN ST,POINT (-104.999799999807 39.7097000000286),POINT (-105.000489999113 39.7112200001583),"LINESTRING (-104.999799999807 39.7097000000286, -105.000489999113 39.7112200001583)",6,276.34,"LINESTRING (-104.999799999807 39.7097000000286, -105.000489999113 39.7112200001583)"
964,123,967,Trail,SOUTH PLATTE RIVER TRAIL,38TH ST,FRANKLIN ST,POINT (-105.000489999113 39.7112200001583),POINT (-105.001 39.7122),"LINESTRING (-105.000489999113 39.7112200001583, -105.001 39.7122)",6,181.2,"LINESTRING (-105.000489999113 39.7112200001583, -105.001 39.7122)"
965,967,20,Trail,SOUTH PLATTE RIVER TRAIL,38TH ST,FRANKLIN ST,POINT (-105.001 39.7122),POINT (-105.001986359216 39.7143272734186),"LINESTRING (-105.001 39.7122, -105.001986359216 39.7143272734186)",6,387.63,"LINESTRING (-105.001 39.7122, -105.001986359216 39.7143272734186)"
966,20,968,Trail,SOUTH PLATTE RIVER TRAIL,38TH ST,FRANKLIN ST,POINT (-105.001986359216 39.7143272734186),POINT (-105.003233333188 39.7161000000667),"LINESTRING (-105.001986359216 39.7143272734186, -105.003233333188 39.7161000000667)",6,346.08,"LINESTRING (-105.001986359216 39.7143272734186, -105.003233333188 39.7161000000667)"
967,968,969,Trail,SOUTH PLATTE RIVER TRAIL,38TH ST,FRANKLIN ST,POINT (-105.003233333188 39.7161000000667),POINT (-105.004399998405 39.7170000005025),"LINESTRING (-105.003233333188 39.7161000000667, -105.004399998405 39.7170000005025)",6,218.46,"LINESTRING (-105.003233333188 39.7161000000667, -105.004399998405 39.7170000005025)"
968,969,970,Trail,SOUTH PLATTE RIVER TRAIL,38TH ST,FRANKLIN ST,POINT (-105.004399998405 39.7170000005025),POINT (-105.0052 39.7179),"LINESTRING (-105.004399998405 39.7170000005025, -105.0052 39.7179)",6,187.26,"LINESTRING (-105.004399998405 39.7170000005025, -105.0052 39.7179)"
969,970,971,Trail,SOUTH PLATTE RIVER TRAIL,38TH ST,FRANKLIN ST,POINT (-105.0052 39.7179),POINT (-105.006699999928 39.7190750000214),"LINESTRING (-105.0052 39.7179, -105.006699999928 39.7190750000214)",6,283.03,"LINESTRING (-105.0052 39.7179, -105.006699999928 39.7190750000214)"
970,971,972,Trail,SOUTH PLATTE RIVER TRAIL,38TH ST,FRANKLIN ST,POINT (-105.006699999928 39.7190750000214),POINT (-105.011979420125 39.7226876906166),"LINESTRING (-105.006699999928 39.7190750000214, -105.011979420125 39.7226876906166)",6,934.34,"LINESTRING (-105.006699999928 39.7190750000214, -105.011979420125 39.7226876906166)"
971,972,973,Trail,SOUTH PLATTE RIVER TRAIL,38TH ST,FRANKLIN ST,POINT (-105.011979420125 39.7226876906166),POINT (-105.0154516117 39.7272741936643),"LINESTRING (-105.011979420125 39.7226876906166, -105.0154516117 39.7272741936643)",6,911.16,"LINESTRING (-105.011979420125 39.7226876906166, -105.0154516117 39.7272741936643)"
972,973,342,Trail,SOUTH PLATTE RIVER TRAIL,38TH ST,FRANKLIN ST,POINT (-105.0154516117 39.7272741936643),POINT (-105.016633333317 39.7286666666762),"LINESTRING (-105.0154516117 39.7272741936643, -105.016633333317 39.7286666666762)",6,285.51,"LINESTRING (-105.0154516117 39.7272741936643, -105.016633333317 39.7286666666762)"
973,342,974,Trail,SOUTH PLATTE RIVER TRAIL,38TH ST,FRANKLIN ST,POINT (-105.016633333317 39.7286666666762),POINT (-105.017259999896 39.7298800000103),"LINESTRING (-105.016633333317 39.7286666666762, -105.017259999896 39.7298800000103)",6,224.01,"LINESTRING (-105.016633333317 39.7286666666762, -105.017259999896 39.7298800000103)"
974,974,927,Trail,SOUTH PLATTE RIVER TRAIL,38TH ST,FRANKLIN ST,POINT (-105.017259999896 39.7298800000103),POINT (-105.01807777774 39.7310666674462),"LINESTRING (-105.017259999896 39.7298800000103, -105.01807777774 39.7310666674462)",6,230.51,"LINESTRING (-105.017259999896 39.7298800000103, -105.01807777774 39.7310666674462)"
975,927,975,Trail,SOUTH PLATTE RIVER TRAIL,38TH ST,FRANKLIN ST,POINT (-105.01807777774 39.7310666674462),POINT (-105.0174 39.73234),"LINESTRING (-105.01807777774 39.7310666674462, -105.0174 39.73234)",6,236.08,"LINESTRING (-105.01807777774 39.7310666674462, -105.0174 39.73234)"
976,975,976,Trail,SOUTH PLATTE RIVER TRAIL,38TH ST,FRANKLIN ST,POINT (-105.0174 39.73234),POINT (-105.0177 39.7362),"LINESTRING (-105.0174 39.73234, -105.0177 39.7362)",6,663.08,"LINESTRING (-105.0174 39.73234, -105.0177 39.7362)"
977,976,707,Trail,SOUTH PLATTE RIVER TRAIL,38TH ST,FRANKLIN ST,POINT (-105.0177 39.7362),POINT (-105.018777777602 39.7388444451955),"LINESTRING (-105.0177 39.7362, -105.018777777602 39.7388444451955)",6,475.34,"LINESTRING (-105.0177 39.7362, -105.018777777602 39.7388444451955)"
978,707,345,Trail,SOUTH PLATTE RIVER TRAIL,38TH ST,FRANKLIN ST,POINT (-105.018777777602 39.7388444451955),POINT (-105.01553383692 39.7459020329841),"LINESTRING (-105.018777777602 39.7388444451955, -105.01553383692 39.7459020329841)",6,1283.91,"LINESTRING (-105.018777777602 39.7388444451955, -105.01553383692 39.7459020329841)"
979,345,977,Trail,SOUTH PLATTE RIVER TRAIL,38TH ST,FRANKLIN ST,POINT (-105.01553383692 39.7459020329841),POINT (-105.016061367432 39.747984091358),"LINESTRING (-105.01553383692 39.7459020329841, -105.016061367432 39.747984091358)",6,363.69,"LINESTRING (-105.01553383692 39.7459020329841, -105.016061367432 39.747984091358)"
980,977,978,Trail,SOUTH PLATTE RIVER TRAIL,38TH ST,FRANKLIN ST,POINT (-105.016061367432 39.747984091358),POINT (-105.0146 39.7505),"LINESTRING (-105.016061367432 39.747984091358, -105.0146 39.7505)",6,472.65,"LINESTRING (-105.016061367432 39.747984091358, -105.0146 39.7505)"
981,978,979,Trail,SOUTH PLATTE RIVER TRAIL,38TH ST,FRANKLIN ST,POINT (-105.0146 39.7505),POINT (-105.013866666812 39.7510000000667),"LINESTRING (-105.0146 39.7505, -105.013866666812 39.7510000000667)",6,129.47,"LINESTRING (-105.0146 39.7505, -105.013866666812 39.7510000000667)"
982,979,980,Trail,SOUTH PLATTE RIVER TRAIL,38TH ST,FRANKLIN ST,POINT (-105.013866666812 39.7510000000667),POINT (-105.012577778873 39.7519555559157),"LINESTRING (-105.013866666812 39.7510000000667, -105.012577778873 39.7519555559157)",6,236.46,"LINESTRING (-105.013866666812 39.7510000000667, -105.012577778873 39.7519555559157)"
